file,a dog barking,a plane cruising,a train passing,a quiet forest,a car engine revving,birds chirping
12.07 ezy68yk.wav,-0.018978606909513474,-0.03606400638818741,0.032112784683704376,0.11428028345108032,-0.04311347007751465,0.06275301426649094
12.08 ezy48an.wav,0.029012184590101242,-0.05053827166557312,0.014967016875743866,0.2217491716146469,-0.10225733369588852,0.16939696669578552
12.11 nsz5wu.wav,0.017061706632375717,0.1370791345834732,0.11673770844936371,0.19446808099746704,-0.0343562476336956,0.16386127471923828
12.13 efw58w.wav,0.01996428892016411,0.003573729656636715,0.07612021267414093,0.20267698168754578,-0.06182526424527168,0.1606360524892807
12.16 ezy37gx.wav,0.014846095815300941,-0.03290030360221863,0.050942178815603256,0.14414289593696594,-0.09480257332324982,0.10039328038692474
"12.20 ss1,2.wav",0.045137919485569,0.24174587428569794,0.18316631019115448,0.19238100945949554,-0.01240874920040369,0.22391276061534882
12.22 vlg23ey.wav,0.03209228813648224,-0.029513712972402573,0.04600875824689865,0.17080652713775635,-0.1124776229262352,0.10688870400190353
12.25 ezy12xf.wav,0.037377968430519104,-0.016933541744947433,0.06635986268520355,0.14561718702316284,-0.04515109956264496,0.06647118180990219
12.30 ezy18yx.wav,0.0669618621468544,-0.0233149416744709,0.030631178990006447,0.2676275372505188,-0.09445502609014511,0.18787486851215363
12.34 ezy54zb.wav,0.024295415729284286,-0.022161763161420822,0.07610493898391724,0.16240759193897247,-0.054791081696748734,0.11642981320619583
12.36 efw5wb.wav,0.04299291595816612,0.09805469959974289,0.07659569382667542,0.21332433819770813,-0.06162368133664131,0.17550401389598846
12.38 baw2202.wav,0.01817411556839943,0.11706113070249557,0.11627695709466934,0.17622795701026917,-0.0476369746029377,0.10923810303211212
"12.39 ss3, then ss4.wav",0.01767519861459732,0.2374153435230255,0.10667495429515839,0.18444232642650604,-0.0019447082886472344,0.15406093001365662
